rssd9001,rssd9348,Bank_Name
,1025998,"exchange bk"
,1025998,"exchange bank"
,1111716,"merchants bk"
,1231333,"harris t&sb"
,1231333,"harris n.a."
,1231968,"bank of the west"
,1232385,"atlantic bk of ny"
,1232497,"rbc centura bk"
,1232497,"rbc centura"
,1238565,"te banknorth na"
,1238565,"td banknorth na"
,1239254,"banco santander de puerto rico"
,1242414,"pacific union bk"
,1242601,"manufacturers & traders trus"
,1242601,"manufacturers & traders trust"
,1242601,"manufacturers & traders tc"
,1242928,"valley independent bk"
,1242928,"rabobank  n.a."
,1245796,"citizens bk of ma"
,1245796,"charter one bank"
,1391237,"bbva puerto rico"
,1718245,"lasalle bk na"
,1857108,"hsbc bank usa na"
,1857108,"hsbc bk usa"
,2605968,"commercebank  n.a."
,2605968,"commercebank na"
,2961897,"union bank of california  n."
,2961897,"union bk of ca na"
,3074271,"far east national bank"
,3074271,"far east nb"
,3080209,"chinatrust bank usa"
,3133262,"manufacturers bk"
,3133262,"manufacturers bank"
,3138267,"adirondack tc"
,3369995,"totalbank"
,3382332,"city bank"
,3407020,"inter national bank"
,,"southern community bancorp"
,,"signature bk"
,,"capital one  f.s.b."
,,"first pulaski national corpo"
,,"amarillo national bancorp inc."
,,"the adirondack trust company"
,,"sterling savings bank"
,,"bb&t bancshares corp."
,,"first midwest bancorp inc."
,,"bank of commerce holdings"
,,"southwest bancorp inc."
,,"first state bancshares  inc."
,,"centennial bank holdings"
,,"td banknorth inc."
,,"corefirst bank & trust"
,,"market street bancshares  in"
,,"crescent banking company"
,,"popular inc."
,,"first mariner bancorp"
,,"northern bancorp inc."
,,"johnson financial group inc."
,,"union bank of california  na"
,,"heritage financial corporation"
,,"gb&t bancshares  inc."
,,"one rich hill mining  l.l.c."
,,"first national bank group inc."
,,"dacotah banks inc."
,,"german american bancorp  inc"
,,"palomar enterprises  llc"
,,"national bank  of indianapolis"
,,"independence bancshares  inc"
,,"sovereign bank"
,,"privatebancorp inc."
,,"minnehaha banshares inc."
,,"farmers bancorporation inc."
,,"peotone bancorp inc."
,,"katahdin bankshares corporat"
,,"great western bank"
,,"blackhawk bancorp  inc."
,,"bankfinancial  f.s.b"
,,"isabella bank corporation"
,,"westbank corporation"
,,"city national bancshares"
,,"sky financial group inc."
,,"encore bank"
,,"washington mutual bank"
,,"neighbor insurance agency"
,,"gardiner savings institution"
,,"queensborough company"
,,"people's mutual holdings"
,,"north american bancshares  i"
,,"north fork bancorporation  inc."
,,"bancindependent incorporated"
,,"premier bancshares  inc."
,,"anchorbank fsb"
,,"main street trust inc."
,,"virginia commerce bancorp"
,,"salem five cents savings bank"
,,"cowlitz bancorporation"
,,"first security group inc."
,,"ruh capital llc"
,,"metropolitan bank group inc."
,,"trustco bank"
,,"commercial federal bank"
,,"chemical financial corporation"
,,"citizens national bancorp inc."
,,"overton financial corporation"
,,"columbia banking system inc."
,,"florida banks  inc."
,,"first federal bank  of the midwest"
,,"commerce bancshares inc."
,,"compass bank"
,,"willow grove bank"
,,"olympic bancorp inc."
,,"newtown savings bank"
,,"psb group  inc."
,,"ocean bankshares inc."
,,"independent alliance banks"
,,"bankunited  fsb"
,,"community capital corporatio"
,,"colonial bancgroup inc."
,,"standard bancshares inc."
,,"iberiabank fsb"
,,"mercantile bankshares corporation"
,,"century bancshares inc."
,,"united bankshares inc."
,,"central bancshares inc."
,,"cbx corporation"
,,"intermountain community banc"
,,"community banks inc."
,,"first fidelity bancorp  inc."
,,"commerce financial corporation"
,,"sbu bank"
,,"greene county bancshares  inc."
,,"moody bancshares inc."
,,"liberty financial group inc."
,,"first bancorp  inc."
,,"tompkins trustco inc."
,,"broadway bancshares inc."
,,"washington trust bancorp"
,,"spring bancorp  inc."
,,"summit bancorp inc."
,,"united community financial corp."
,,"mid america bank  fsb"
,,"placer sierra bancshares"
,,"hsbc bank usa  na"
,,"washington trust bancorp  inc"
,,"first mutual of richmond  in"
,,"firstcapital bank  ssb"
,,"fnbh bancorp inc."
,,"colonial bancgroup  inc."
,,"horizon bancorp"
,,"people s mutual holdings"
,,"south financial group"
,,"foster bankshares  inc."
,,"bancorp rhode island inc."
,,"community bank system inc."
,,"hillcrest bancshares inc."
,,"first artesia bancshares"
,,"sterling bancorp"
,,"machias bancorp  mhc"
,,"first california financial group"
,,"central pacific financial co."
,,"lone star national bancshares"
,,"total bancshares corp."
,,"johnson financial group  inc."
,,"community bancorp  inc."
,,"waukesha state bank"
,,"capital one  fsb"
,,"peoples banctrust company"
,,"bankunited fsb"
,,"anb bancshares inc."
,,"washington trust bancorp  inc."
,,"amarillo national bancorp  inc"
,,"alabama national bancorp."
,,"monticello bankshares  inc."
,,"bank of kentucky financial corp."
,,"harris trust and savings ban"
,,"first citizens bancshares  inc"
,,"first federal of charleston"
,,"firstbank northwest"
,,"pab bankshares inc."
,,"american bank holding corp."
,,"inwood bancshares inc."
,,"bank  of the ozarks inc"
,,"peoples banctrust company inc."
,,"susquehanna bancshares inc."
,,"illinois national bancorp inc."
,,"pinnacle bancorp inc."
,,"nara bancorp inc."
,,"tower financial corporation"
,,"unity bancorp inc."
,,"midland financial corporation"
,,"virginia commerce bancorp  inc."
,,"bank  of new york mellon corp"
,,"bank of kentucky financial"
,,"virginia commerce bancorp  inc"
,,"peoples financial corporation"
,,"w holding company inc."
,,"texas capital bancshares  inc"
,,"washington trust bancorp inc."
,,"webster financial corporation"
,,"southside bancshares incorp."
,,"cit group inc."
,,"green bankshares inc."
,,"first banking center inc."
,,"banco santander"
,,"salem 5 cents savings bank"
,,"virginia financial group  inc."
,,"oak hill financial  inc."
,,"city bancorp"
,,"partners trust bank"
,,"futura banc corporation"
,,"first bancshares inc."
,,"taylor capital group inc."
,,"exchange national bancshares"
,,"pacific mercantile bancorp"
,,"liberty bancshares inc."
,,"venture financial group  inc"
,,"amcore financial inc."
,,"chittenden trust company"
,,"stewardship financial corp."
,,"chemung financial corporation"
,,"bank of whitman employee sto"
,,"enterprise bank of s.c."
,,"saehan bancorp"
,,"northeast securities corporation"
,,"centennial bank holdings  inc."
,,"east west bancorp inc."
,,"mid america bank fsb"
,,"first-west texas bancshares"
,,"civitas bankgroup  inc."
,,"cbs banc-corp."
,,"boston private fncl holdings"
,,"chevy chase bank f.s.b."
,,"bridge bancorp inc."
,,"factory point bancorp  inc."
,,"the pitney bowes bank"
,,"metro bancorp  inc."
,,"first federal bank of the midwest"
,,"capital one financial corp."
,,"burke & herbert bank and trust"
,,"community banc-corp  of shebo"
,,"southwest community bancorp"
,,"waypoint bank"
,,"wtb financial corporation"
,,"bank  of kentucky financial c"
,,"first national lincoln corpo"
,,"citizens bancshares inc."
,,"fidelity federal bank & trusy"
,,"citizens first savings bank"
,,"citizens republic bancorp"
,,"farmers & merchants bank of"
,,"metro bank"
,,"arkansas valley bancshares"
,,"homestreet bank"
,,"citibank fsb"
,,"preferred bank"
,,"bank  of hawaii corporation"
,,"first nb of the cumberlands"
,,"first national bank group  inc"
,,"county bancorp  inc."
,,"advanta bank corporation"
,,"first south bancorp inc."
,,"the mechanics bank"
,,"union savings bank"
,,"stewardship financial corporation"
,,"bank of new york company inc."
,,"yadkin valley b&tc"
,,"parish national corporation"
,,"hsbc bank  usa"
,,"midsouth bancorp inc."
,,"community bancshares inc."
,,"bank calumet  inc."
,,"encore bancshares  inc."
,,"south financial group  inc."
,,"mercantile bankshares corp."
,,"west financial inc."
,,"a.n.b. holding company  ltd."
,,"north fork bancorporation inc."
,,"pff bank & trust"
,,"fnb financial services corp."
,,"fidelity southern corporatio"
,,"bankatlantic"
,,"rbc centura bank"
,,"home federal bank"
,,"newalliance bancshares inc."
,,"sterling financial group  inc."
,,"first republic bank"
,,"community company  the"
,,"commerce bancorp inc."
,,"state bancorp inc."
,,"rbc bank"
,,"first mutual bancshares inc."
,,"amarillo national bancorp"
,,"weststar bank holding company"
,,"hibshman trust for ephrata nbs"
,,"chevy chase bank  f.s.b."
,,"city national bank  of florida"
,,"republic bancshares of texas"
,,"first niagara bank"
,,"american national corporation"
,,"interchange financial service"
,,"commerce bank and trust"
,,"sunflower banks inc."
,,"univest corporation of pa"
,,"american express centurion bank"
,,"bancorpsouth inc."
,,"1867 western financial corp."
,,"mesaba bancshares  inc."
,,"stark bank group ltd."
,,"midfirst bank"
,,"alliance financial services"
,,"capital one fsb"
,,"metrocorp bancshares inc."
,,"national penn bancshares inc."
,,"community trust bancorp inc."
,,"priorityone capital corporat"
,,"city national bank of florid"
,,"bridgeview bancorp inc."
,,"chemical financial corporate"
,,"state bank and trust company"
,,"bancshares  inc."
,,"middlesex bancorp mhc"
,,"lasalle bank"
,,"alpine bancorporation  inc."
,,"city national bancshares inc"
,,"american nb tx"
,,"hawthorn bancshares  inc"
,,"one rich hill mining  llc"
,,"prairie capital  inc."
,,"gwinnett commercial group  inc."
,,"wood & huston bancorporation"
,,"citybank"
,,"voyager financial services"
,,"loveland securities  inc."
,,"van diest investment company"
,,"minotola national bank"
,,"united bancorporation of wy"
,,"first volunteer corporation"
,,"ocean bank"
,,"kaw valley bancorp  inc."
,,"boston private fncl. holding"
,,"unity bancshares  l.l.c."
,,"first federal bank of the mi"
,,"greene county bancshares inc."
,,"huntington bancshares inc."
,,"coppermark bancshares  inc."
,,"farmers & merchants bank lb"
,,"oof colorado"
,,"anchor bancorp  inc."
,,"people s united bank"
,,"burke & herbert bank & trust"
,,"allfirst bank"
,,"great southern bancorp inc."
,,"community bancorp"
,,"gold banc corporation inc."
,,"virginia financial group inc."
,,"arbor bancorp inc."
,,"td bank n.a"
,,"simmons first national corporation"
,,"royal american corporation"
,,"palmetto bancshares inc."
,,"first heritage bk"
,,"summit bancshares  inc."
,,"front range capital corporation"
,,"inter-mountain bancorp.  inc"
,,"lsb bancshares inc."
,,"citizens bank of massachusetts"
,,"home state bancorp inc."
,,"univest corporation of pennsylvania"
,,"new peoples bankshares inc."
,,"pennsylvania commerce bancorp."
,,"amegy corporation"
,,"usb holding co.  inc."
,,"republic first bancorp  inc."
,,"center bancorp inc."
,,"sunflower financial  inc."
,,"guaranty bank"
,,"first fidelity bancorp inc."
,,"new mexico banquest corporat"
,,"peoples bancorp of north carolina"
,,"bank of new york company"
,,"devon bancorp  inc."
,,"texas regional bancshares inc."
,,"hometown banc corp"
,,"citibank (west) fsb"
,,"abc bancorp"
,,"community valley bancorp"
,,"commercial bankshares  inc."
,,"first federal savings bank"
,,"bankeast corporation"
,,"northwestern bank"
,,"mid state banks  inc."
,,"farmers & merchants investment"
,,"banco santander puerto rico"
,,"first banks inc."
,,"merrill lynch bk&tc.  fsb"
,,"southern michigan bancorp inc."
,,"klein financial inc."
,,"lehman brothers bank"
,,"ge money bank"
,,"southwest missouri bancorp."
,,"prosperity bancshares inc."
,,"crystal valley financial corp."
,,"killbuck bancshares  inc."
,,"sterling bancshares inc."
,,"first mutual  of richmond  in"
,,"new frontier bancorp"
,,"washington mutual bank  fa"
,,"amarillo national bancorp  inc."
,,"california community financial"
,,"wesbanco inc."
,,"auburn national bancorporation"
,,"rbs citizens n.a."
,,"fidelity federal bank & trust"
,,"advanta bank"
,,"silver state bancorp"
,,"american express bank  fsb"
,,"greene county bancshares"
,,"national penn bancshares  inc."
,,"pulaski investment corporation"
,,"the bank  of commerce"
,,"bank of the ozarks inc."
,,"first capital bancorp  inc."
,,"wright express fsc"
,,"first horizon national corporation"
,,"merchants bank"
,,"bank calumet inc."
,,"southern bancshares corp."
,,"lakeland bancorp inc."
,,"henry county bancshares  inc"
,,"citibank  fsb"
,,"first federal"
,,"bankfinancial f.s.b"
,,"dollar bank  fsb"
,,"legacytexas group inc."
,,"atbancorp"
,,"eurobancshares inc."
,,"anb bancshares  inc"
,,"yadkin valley bank & trust c"
,,"heartland bancorp inc."
,,"interchange financial servic"
,,"f & m holding company"
,,"jeff davis bancshares inc."
,,"first texas bhc  inc."
,,"first national bank holding"
,,"firstperryton bancorp inc."
,,"rcbcorporation"
,,"boston private financial holdings"
,,"state financial services corp."
,,"citizens south bank"
,,"century bancshares  inc."
,,"canandaigua national corp."
,,"banctrust financial group"
,,"southside bancshares inc."
,,"gorham savings bank"
,,"s.b.c.p. bancorp  inc."
,,"first community capital corp."
,,"alliance financial corporati"
,,"comerica inc."
,,"first national bankshares of"
,,"tierone bank"
,,"sun bancorp inc."
,,"bank  of the west"
,,"main street banks inc."
,,"first chester county corpora"
,,"new mexico banquest corp."
,,"coastal federal savings bank"
,,"first national bank"
,,"union first market bankshare"
,,"stockman financial corporation"
,,"home federal savings bank"
,,"wnb bancshares  inc."
,,"heartland financial usa  inc."
,,"huntington bancshares incorp."
,,"american savings bank"
,,"neighbor insurance agency  inc"
,,"west suburban bancorp inc."
,,"the colonial bancgroup  inc."
,,"american savings bank fsb"
,,"flagstar bank"
,,"southwest securities  fsb"
,,"alpine banks  of colorado"
,,"first american bank  ssb"
,,"scj  inc."
,,"independence community bank"
,,"compass bancshares inc."
,,"first texas bhc inc."
,,"blossman bancshares  inc."
,,"superior bank"
,,"horizon capital bank"
,,"farmington savings bank"
,,"first national lincoln corporation"
,,"anb holding company  ltd."
,,"west pointe bancshares inc."
,,"texas united bancshares  inc"
,,"united bank corporation"
,,"plains bancorp inc."
,,"citizens nb"
,,"ecb bancorp inc."
,,"first citizens bancorporation"
,,"hudson river bank & trust co"
,,"reliable community bancshare"
,,"capgen capital group ii lp"
,,"valley independent bank"
,,"tc financial corporation"
,,"virginia financial group"
,,"sbc bank usa"
,,"s & t bancorp inc."
,,"united bancorp inc."
,,"fidelity bancshares  inc."
,,"citizens bank of massachuset"
,,"provident bankshares corp."
,,"citibank (west)  fsb"
,,"texas capital bancshares inc."
,,"tower bancorp inc."
,,"first citizens financial corp."
,,"waupaca bancorporation inc."
,,"union bank  n.a"
,,"american express bk fsb"
,,"united community banks inc."
,,"wsfs"
,,"coastal federal bank"
,,"bnc bancorp"
,,"midland bancshares  inc."
,,"porter bancorp  inc."
,,"rbs citizens  n.a."
,,"first citizens bancorp"
,,"commercial bankshares inc."
,,"state bank & trust company"
,,"summit bancshares inc."
,,"pennsylvania commerce bancorp"
,,"suntrust banks inc."
,,"citrus & chemical bancorporation"
,,"washington federal s&l"
,,"virginia commerce bancorp inc."
,,"midwest banc holdings inc."
,,"advanta bank corp."
,,"columbia bank"
,,"north dallas bank & trust co"
,,"si bank & trust"
,,"the brand banking company"
,,"people s utah bancorp"
,,"bangor savings bank"
,,"valley indep bk"
,,"dbt holding company"
,,"idaho independent bk"
,,"first national bank group"
,,"fentura financial inc."
,,"doral financial corporation"
,,"durant bancorp inc."
,,"dollar bank fsb"
,,"cnb bancshares  inc."
,,"first of long island corpora"
,,"bank  of kentucky financial"
,,"first mutual of richmond"
,,"sy bancorp inc."
,,"bank  of america corporation"
,,"cashmere valley bk"
,,"first republic bk"
,,"alikat investments  inc."
,,"harbor federal savings bank"
,,"ucbh holdings inc."
,,"banco santander de puerto ri"
,,"farmers capital bank corp."
,,""
,,"dcb financial corp"
,,"premier bank"
,,"san joaquin bk"
,,"bb&t fsb cra"
,,"pacific union bank"
,,"community bancshares  inc."
,,"transatlantic bank"
,,"s. y. bancorp inc."
,,"centennial bank holdings inc."
,,"unionbancorp  inc."
,,"harleysville national corp."
,,"front range capital corporat"
,,"summit financial corporation"
,,"interchange financial services"
,,"firstbank holding company"
,,"south valley bancorp  inc."
,,"first place bank"
,,"u.s.b. holding co. inc."
,,"mountain states bancorporation"
,,"first citizens bancshares inc."
,,"neighbor insurance agency  i"
,,"pitney bowes bk"
,,"river valley bancorp  inc."
,,"provident bank"
,,"affinity bk"
,,"jefferson county bancshares"
,,"ironstone bank"
,,"cape cod five cents savings"
,,"lea m. mcmullan trust"
,,"bank of new york company  inc."
,,"wilshire bancorp inc."
,,"diboll state bancshares inc."
,,"american bancorporation"
,,"san joaquin bank"
,,"sabine bancshares inc."
,,"parish national bank"
,,"univest corporation  of pennsylvania"
,,"capital one financial corpor"
,,"old second bancorp inc."
,,"prosperity banking company"
,,"atlantic bank of new york"
,,"washington mutual bank fa"
,,"katahdin bankshares corporation"
,,"heritage oaks bancorp"
,,"first federal bank"
,,"peoples first community bank"
,,"century bancorp inc."
,,"vail banks  inc."
,,"arvest bank group inc."
,,"lehman brothers bank  fsb"
,,"tampa banking company"
,,"sandy spring bancorp inc."
,,"the privatebank"
,,"ameris bancorp"
,,"univest corp.of pennsylvania"
,,"red river bancshares inc."
,,"frist national bank"
,,"united community financial c"
,,"first farmers financial corp."
,,"bankfinancial"
,,"flag financial corporation"
,,"atlantic states bank"
,,"first national lincoln corp."
,,"star financial group inc."
,,"texas capital bancshares"
,,"mechanics bank"
,,"oak hill financial inc."
,,"midamerica national bancshar"
,,"savannah bancorp  inc.  the"
,,"merchants & manufacturers bank"
,,"brand group holdings inc."
,,"marathon bank of new york"
,,"jefferson bancshares inc."
,,"d. l. evans bancorp"
,,"hibshman trust for ephrata"
,,"citrus & chemical bancorp."
,,"northwest federal savings ba"
,,"us century bank"
,,"berkshire bank"
,,"first community capital corp"
,,"idaho independent bank"
,,"southside bancshares  incorp."
,,"union national financial corp."
,,"cullen/frost bankers inc."
,,"farmers & merchants bank"
,,"harris trust and savings bank"
,,"bankfirst capital corporatio"
,,"northrim bancorp inc."
,,"bankfirst capital corporation"
,,"1st constitution bancorp"
,,"jane austin chapman limited"
,,"rcb holding company  inc."
,,"community bank shares of indiana"
,,"first mid-illinois bancshares"
,,"security national corporation"
,,"pulaski bank"
,,"south dakota bancshares  inc"
,,"dearborn bancorp inc."
,,"first artesia bancshares  in"
